,Curvature,Moment,NeutralAxis,MinorAxisMoment,Axial,Slope
73,0.0004916,0.0,3.7128405890129583e+53,0.0,-180,0.0
74,0.0004983333333333334,0.0,1.2906618476639188e+54,0.0,-180,0.0
75,0.0005050666666666667,0.0,4.470225094214955e+54,0.0,-180,0.0
76,0.0005118,0.0,1.5426476735984967e+55,0.0,-180,0.0
77,0.0005185333333333333,0.0,5.304373979918339e+55,0.0,-180,0.0
78,0.0005252666666666667,0.0,1.8173603925173537e+56,0.0,-180,0.0
79,0.000532,0.0,6.204359186022376e+56,0.0,-180,0.0
80,0.0005387333333333334,0.0,2.1106250277518954e+57,0.0,-180,0.0
81,0.0005454666666666666,0.0,7.15472183360557e+57,0.0,-180,0.0
82,0.0005522,0.0,2.416857789993745e+58,0.0,-180,0.0
83,0.0005589333333333333,0.0,8.135704832844846e+58,0.0,-180,0.0
