,Rotation,P,Mx,My,NeutralAxis,ResistanceFactor,P_factored,Mx_factored,My_factored
48,180,-237.45338232646338,4721.2869033167535,-5.115907697472721e-13,4.250305335990857,0.9,-213.70804409381705,4249.1582129850785,-4.604316927725449e-13
49,180,-311.27,5345.220763888889,-5.400124791776761e-13,5.54545122093677,0.9,-280.143,4810.6986875,-4.860112312599086e-13
50,180,-378.42000000000013,5840.210000000001,-5.400124791776761e-13,6.840597105882682,0.9,-340.57800000000015,5256.189000000001,-4.860112312599086e-13
51,180,-445.56999999999994,6276.254097222223,-7.105427357601002e-13,8.135742990828595,0.9,-401.013,5648.628687500001,-6.394884621840902e-13
52,180,-512.7199999999998,6653.353055555555,-9.094947017729282e-13,9.430888875774507,0.8544183096163682,-438.07735570650414,5684.7466710086765,-7.770889256938683e-13
53,180,-579.8700000000001,6971.506874999997,-1.1084466677857563e-12,10.72603476072042,0.8112066805398546,-470.39441784464555,5655.3329504295225,-8.991793419299463e-13
54,180,-700.5699999999993,7394.71243055555,-5.968558980384842e-13,12.021180645666332,0.7773061774217436,-544.5573887163503,5747.955652528185,-4.639397765759161e-13
55,180,-767.7199999999989,7548.119722222215,-3.410605131648481e-13,13.316326530612244,0.75,-575.7899999999992,5661.089791666662,-2.5579538487363607e-13
56,180,-767.7199999999989,7548.119722222215,-3.410605131648481e-13,13.316326530612244,0.75,-575.7899999999992,5661.089791666662,-2.5579538487363607e-13
57,180,-853.7027402135222,7444.838102757999,-2.8421709430404007e-13,14.33673469387755,0.65,-554.9067811387895,4839.1447667927,-1.8474111129762605e-13
58,180,-883.6327906976733,7285.461461563299,-3.126388037344441e-13,15.357142857142856,0.65,-574.3613139534876,4735.549950016145,-2.0321522242738866e-13
59,180,-965.0779439252328,7158.790477673929,1.4210854715202004e-13,16.377551020408163,0.65,-627.3006635514014,4653.213810488054,9.237055564881302e-14
60,180,-1044.8462463343108,6990.781288489729,5.115907697472721e-13,17.397959183673468,0.65,-679.150060117302,4544.007837518324,3.325340003357269e-13
61,180,-1123.2163988919674,6778.507533856564,3.410605131648481e-13,18.418367346938773,0.65,-730.0906592797788,4406.029897006767,2.2168933355715128e-13
62,180,-1186.8085826771674,6555.92397911198,1.1368683772161603e-13,19.43877551020408,0.65,-771.4255787401588,4261.350586422787,7.389644451905042e-14
63,180,-1262.9990523690817,6260.735505680239,1.4210854715202004e-13,20.459183673469386,0.65,-820.9493840399032,4069.4780786921556,9.237055564881302e-14
64,180,-1338.3305700712651,5915.62088925178,2.2737367544323206e-13,21.47959183673469,0.65,-869.9148705463224,3845.153578013657,1.4779288903810084e-13
65,180,-1403.7400000000084,5615.743055555556,3.410605131648481e-13,22.5,0.65,-912.4310000000055,3650.232986111111,2.2168933355715128e-13
66,180,-1403.7400000000084,5615.743055555556,3.410605131648481e-13,22.5,0.65,-912.4310000000055,3650.232986111111,2.2168933355715128e-13
67,180,-1496.5361538461652,5027.5372596153875,-3.410605131648481e-13,24.375,0.65,-972.7485000000074,3267.899218750002,-2.2168933355715128e-13
68,180,-1627.561428571442,4072.71076388889,-2.8421709430404007e-13,26.25,0.65,-1057.9149285714375,2647.2619965277786,-1.8474111129762605e-13
69,180,-1717.260000000015,3303.9275000000016,-2.5579538487363607e-13,28.125,0.65,-1116.2190000000098,2147.552875000001,-1.6626700016786346e-13
70,180,-1845.7900000000166,2057.897222222222,-5.115907697472721e-13,30.0,0.65,-1199.7635000000107,1337.6331944444444,-3.325340003357269e-13
71,180,-2033.3025000000182,3.543749999999932,-6.536993168992922e-13,72.0,0.65,-1321.646625000012,2.303437499999956,-4.2490455598453994e-13
